0, 1845 MHz, 6800 MHz, 219.06 W, 72
1, 1860 MHz, 6800 MHz, 246.03 W, 70
2, 1860 MHz, 6800 MHz, 247.90 W, 74
3, 1830 MHz, 6800 MHz, 244.51 W, 77
0, 1845 MHz, 6800 MHz, 222.80 W, 71
1, 1860 MHz, 6800 MHz, 213.63 W, 69
2, 1860 MHz, 6800 MHz, 213.97 W, 73
3, 1830 MHz, 6800 MHz, 191.48 W, 76
0, 1845 MHz, 6800 MHz, 180.95 W, 71
1, 1860 MHz, 6800 MHz, 193.21 W, 70
2, 1860 MHz, 6800 MHz, 200.01 W, 74
3, 1830 MHz, 6800 MHz, 227.83 W, 77
0, 1845 MHz, 6800 MHz, 221.18 W, 72
1, 1860 MHz, 6800 MHz, 240.60 W, 70
2, 1860 MHz, 6800 MHz, 250.38 W, 74
3, 1830 MHz, 6800 MHz, 245.98 W, 77
0, 1845 MHz, 6800 MHz, 222.71 W, 72
1, 1860 MHz, 6800 MHz, 246.62 W, 70
2, 1845 MHz, 6800 MHz, 248.11 W, 74
3, 1830 MHz, 6800 MHz, 243.28 W, 77
0, 1845 MHz, 6800 MHz, 221.38 W, 72
1, 1860 MHz, 6800 MHz, 247.70 W, 70
2, 1860 MHz, 6800 MHz, 248.07 W, 74
3, 1830 MHz, 6800 MHz, 246.90 W, 77
0, 1845 MHz, 6800 MHz, 222.97 W, 72
1, 1860 MHz, 6800 MHz, 248.95 W, 71
2, 1845 MHz, 6800 MHz, 250.96 W, 74
3, 1830 MHz, 6800 MHz, 244.63 W, 77
0, 1845 MHz, 6800 MHz, 221.08 W, 72
1, 1860 MHz, 6800 MHz, 248.39 W, 71
2, 1845 MHz, 6800 MHz, 251.17 W, 74
3, 1830 MHz, 6800 MHz, 246.01 W, 77
0, 1845 MHz, 6800 MHz, 221.78 W, 72
1, 1860 MHz, 6800 MHz, 248.57 W, 70
2, 1845 MHz, 6800 MHz, 246.03 W, 74
3, 1830 MHz, 6800 MHz, 245.37 W, 77
0, 1845 MHz, 6800 MHz, 222.76 W, 72
1, 1860 MHz, 6800 MHz, 248.37 W, 71
2, 1845 MHz, 6800 MHz, 246.46 W, 74
3, 1830 MHz, 6800 MHz, 246.91 W, 77
0, 1845 MHz, 6800 MHz, 221.95 W, 72
1, 1860 MHz, 6800 MHz, 250.13 W, 71
2, 1845 MHz, 6800 MHz, 246.21 W, 74
3, 1815 MHz, 6800 MHz, 242.47 W, 77
0, 1845 MHz, 6800 MHz, 220.07 W, 72
1, 1860 MHz, 6800 MHz, 246.94 W, 71
2, 1860 MHz, 6800 MHz, 248.54 W, 74
3, 1815 MHz, 6800 MHz, 241.22 W, 77
0, 1845 MHz, 6800 MHz, 223.12 W, 72
1, 1860 MHz, 6800 MHz, 247.46 W, 70
2, 1845 MHz, 6800 MHz, 247.21 W, 73
3, 1815 MHz, 6800 MHz, 239.38 W, 76
0, 1845 MHz, 6800 MHz, 224.70 W, 71
1, 1860 MHz, 6800 MHz, 205.96 W, 69
2, 1845 MHz, 6800 MHz, 254.27 W, 72
3, 1815 MHz, 6800 MHz, 240.05 W, 76
0, 1845 MHz, 6800 MHz, 223.41 W, 71
1, 1860 MHz, 6800 MHz, 228.01 W, 70
2, 1860 MHz, 6800 MHz, 203.39 W, 73
3, 1815 MHz, 6800 MHz, 243.09 W, 76
0, 1845 MHz, 6800 MHz, 221.96 W, 71
1, 1860 MHz, 6800 MHz, 233.11 W, 70
2, 1860 MHz, 6800 MHz, 202.26 W, 73
3, 1815 MHz, 6800 MHz, 189.16 W, 76
0, 1845 MHz, 6800 MHz, 226.27 W, 71
1, 1860 MHz, 6800 MHz, 248.97 W, 70
2, 1860 MHz, 6800 MHz, 226.47 W, 73
3, 1815 MHz, 6800 MHz, 201.25 W, 76
