2, 1860 MHz, 6800 MHz, 248.24 W, 74
3, 1815 MHz, 6800 MHz, 239.85 W, 77
0, 1845 MHz, 6800 MHz, 219.96 W, 72
1, 1860 MHz, 6800 MHz, 248.87 W, 71
2, 1860 MHz, 6800 MHz, 257.17 W, 75
3, 1815 MHz, 6800 MHz, 241.27 W, 77
0, 1845 MHz, 6800 MHz, 223.48 W, 72
1, 1860 MHz, 6800 MHz, 250.03 W, 71
2, 1845 MHz, 6800 MHz, 256.14 W, 74
3, 1815 MHz, 6800 MHz, 239.29 W, 77
0, 1845 MHz, 6800 MHz, 221.38 W, 72
1, 1860 MHz, 6800 MHz, 250.47 W, 71
2, 1845 MHz, 6800 MHz, 251.90 W, 74
3, 1815 MHz, 6800 MHz, 238.60 W, 77
0, 1845 MHz, 6800 MHz, 221.65 W, 72
1, 1860 MHz, 6800 MHz, 238.34 W, 70
2, 1845 MHz, 6800 MHz, 248.05 W, 74
3, 1815 MHz, 6800 MHz, 238.73 W, 77
0, 1845 MHz, 6800 MHz, 221.04 W, 72
1, 1845 MHz, 6800 MHz, 245.64 W, 70
2, 1845 MHz, 6800 MHz, 243.73 W, 74
3, 1815 MHz, 6800 MHz, 242.57 W, 77
0, 1845 MHz, 6800 MHz, 203.77 W, 72
1, 1860 MHz, 6800 MHz, 250.49 W, 71
2, 1845 MHz, 6800 MHz, 254.05 W, 74
3, 1815 MHz, 6800 MHz, 239.43 W, 77
0, 1845 MHz, 6800 MHz, 177.32 W, 72
1, 1860 MHz, 6800 MHz, 194.17 W, 70
2, 1860 MHz, 6800 MHz, 195.43 W, 74
3, 1815 MHz, 6800 MHz, 213.81 W, 77
0, 1845 MHz, 6800 MHz, 222.91 W, 71
1, 1860 MHz, 6800 MHz, 243.85 W, 69
2, 1860 MHz, 6800 MHz, 248.64 W, 73
3, 1815 MHz, 6800 MHz, 193.86 W, 77
0, 1845 MHz, 6800 MHz, 220.03 W, 72
1, 1845 MHz, 6800 MHz, 240.37 W, 70
2, 1860 MHz, 6800 MHz, 250.08 W, 74
3, 1815 MHz, 6800 MHz, 241.69 W, 78
0, 1845 MHz, 6800 MHz, 223.75 W, 72
1, 1860 MHz, 6800 MHz, 249.61 W, 71
2, 1845 MHz, 6800 MHz, 247.89 W, 74
