3, 1830 MHz, 6800 MHz, 225.22 W, 75
0, 1845 MHz, 6800 MHz, 193.48 W, 70
1, 1860 MHz, 6800 MHz, 223.38 W, 67
2, 1860 MHz, 6800 MHz, 190.87 W, 72
3, 1830 MHz, 6800 MHz, 208.38 W, 74
0, 1845 MHz, 6800 MHz, 204.44 W, 71
1, 1860 MHz, 6800 MHz, 223.66 W, 68
2, 1860 MHz, 6800 MHz, 236.03 W, 73
3, 1830 MHz, 6800 MHz, 222.64 W, 75
0, 1845 MHz, 6800 MHz, 203.79 W, 71
1, 1860 MHz, 6800 MHz, 224.31 W, 68
2, 1860 MHz, 6800 MHz, 233.63 W, 73
3, 1830 MHz, 6800 MHz, 222.18 W, 75
0, 1845 MHz, 6800 MHz, 205.10 W, 71
1, 1860 MHz, 6800 MHz, 223.79 W, 68
2, 1860 MHz, 6800 MHz, 235.55 W, 73
3, 1830 MHz, 6800 MHz, 220.64 W, 75
0, 1845 MHz, 6800 MHz, 213.95 W, 71
1, 1860 MHz, 6800 MHz, 236.76 W, 68
2, 1860 MHz, 6800 MHz, 231.54 W, 73
3, 1830 MHz, 6800 MHz, 232.23 W, 75
0, 1845 MHz, 6800 MHz, 182.32 W, 70
1, 1860 MHz, 6800 MHz, 210.63 W, 68
2, 1860 MHz, 6800 MHz, 191.41 W, 73
3, 1830 MHz, 6800 MHz, 181.76 W, 75
0, 1845 MHz, 6800 MHz, 202.72 W, 71
1, 1860 MHz, 6800 MHz, 225.10 W, 69
2, 1860 MHz, 6800 MHz, 237.46 W, 73
3, 1830 MHz, 6800 MHz, 225.01 W, 75
0, 1845 MHz, 6800 MHz, 203.63 W, 71
1, 1860 MHz, 6800 MHz, 224.85 W, 68
2, 1860 MHz, 6800 MHz, 236.97 W, 73
3, 1830 MHz, 6800 MHz, 224.64 W, 76
0, 1845 MHz, 6800 MHz, 203.75 W, 71
1, 1860 MHz, 6800 MHz, 223.32 W, 68
2, 1860 MHz, 6800 MHz, 242.32 W, 73
3, 1830 MHz, 6800 MHz, 224.51 W, 76
0, 1845 MHz, 6800 MHz, 177.21 W, 71
1, 1860 MHz, 6800 MHz, 184.77 W, 68
2, 1860 MHz, 6800 MHz, 242.03 W, 73
