3, 1815 MHz, 6800 MHz, 237.87 W, 76
0, 1845 MHz, 6800 MHz, 219.55 W, 72
1, 1860 MHz, 6800 MHz, 244.44 W, 70
2, 1860 MHz, 6800 MHz, 248.42 W, 74
3, 1815 MHz, 6800 MHz, 237.85 W, 76
0, 1845 MHz, 6800 MHz, 219.00 W, 72
1, 1860 MHz, 6800 MHz, 247.72 W, 70
2, 1845 MHz, 6800 MHz, 242.85 W, 73
3, 1815 MHz, 6800 MHz, 238.33 W, 76
0, 1845 MHz, 6800 MHz, 219.74 W, 71
1, 1860 MHz, 6800 MHz, 232.32 W, 69
2, 1860 MHz, 6800 MHz, 248.50 W, 72
3, 1815 MHz, 6800 MHz, 239.35 W, 75
0, 1845 MHz, 6800 MHz, 221.37 W, 70
1, 1860 MHz, 6800 MHz, 231.15 W, 69
2, 1860 MHz, 6800 MHz, 249.67 W, 73
3, 1815 MHz, 6800 MHz, 188.39 W, 76
0, 1845 MHz, 6800 MHz, 180.44 W, 71
1, 1860 MHz, 6800 MHz, 238.35 W, 69
2, 1845 MHz, 6800 MHz, 197.43 W, 73
3, 1815 MHz, 6800 MHz, 190.00 W, 76
0, 1845 MHz, 6800 MHz, 183.27 W, 71
1, 1860 MHz, 6800 MHz, 250.08 W, 69
2, 1845 MHz, 6800 MHz, 203.64 W, 73
3, 1815 MHz, 6800 MHz, 194.03 W, 76
0, 1845 MHz, 6800 MHz, 192.61 W, 71
1, 1860 MHz, 6800 MHz, 196.78 W, 69
2, 1860 MHz, 6800 MHz, 196.80 W, 73
3, 1815 MHz, 6800 MHz, 217.71 W, 76
0, 1845 MHz, 6800 MHz, 214.37 W, 71
1, 1860 MHz, 6800 MHz, 198.51 W, 69
2, 1860 MHz, 6800 MHz, 220.30 W, 73
3, 1815 MHz, 6800 MHz, 187.54 W, 76
0, 1845 MHz, 6800 MHz, 222.38 W, 71
1, 1860 MHz, 6800 MHz, 184.15 W, 69
2, 1860 MHz, 6800 MHz, 247.54 W, 73
3, 1815 MHz, 6800 MHz, 183.33 W, 76
0, 1845 MHz, 6800 MHz, 181.51 W, 71
1, 1860 MHz, 6800 MHz, 235.20 W, 69
2, 1860 MHz, 6800 MHz, 202.14 W, 73
3, 1815 MHz, 6800 MHz, 189.16 W, 76
0, 1845 MHz, 6800 MHz, 205.75 W, 71
1, 1860 MHz, 6800 MHz, 248.14 W, 69
2, 1845 MHz, 6800 MHz, 203.60 W, 73
3, 1815 MHz, 6800 MHz, 229.95 W, 76
0, 1845 MHz, 6800 MHz, 216.98 W, 71
1, 1860 MHz, 6800 MHz, 201.82 W, 69
2, 1860 MHz, 6800 MHz, 251.81 W, 73
3, 1815 MHz, 6800 MHz, 239.59 W, 75
0, 1845 MHz, 6800 MHz, 220.51 W, 72
1, 1860 MHz, 6800 MHz, 235.11 W, 70
2, 1845 MHz, 6800 MHz, 247.95 W, 73
3, 1815 MHz, 6800 MHz, 213.85 W, 76
0, 1845 MHz, 6800 MHz, 217.54 W, 72
1, 1860 MHz, 6800 MHz, 238.86 W, 70
2, 1860 MHz, 6800 MHz, 252.70 W, 74
3, 1815 MHz, 6800 MHz, 237.35 W, 77
0, 1845 MHz, 6800 MHz, 222.99 W, 72
1, 1860 MHz, 6800 MHz, 247.65 W, 70
2, 1845 MHz, 6800 MHz, 249.76 W, 74
3, 1815 MHz, 6800 MHz, 237.78 W, 77
0, 1845 MHz, 6800 MHz, 219.26 W, 72
1, 1845 MHz, 6800 MHz, 249.88 W, 70
2, 1860 MHz, 6800 MHz, 252.56 W, 74
3, 1815 MHz, 6800 MHz, 240.33 W, 77
0, 1845 MHz, 6800 MHz, 219.84 W, 72
1, 1845 MHz, 6800 MHz, 244.86 W, 70
2, 1845 MHz, 6800 MHz, 245.31 W, 74
3, 1815 MHz, 6800 MHz, 241.34 W, 77
0, 1845 MHz, 6800 MHz, 222.75 W, 72
1, 1860 MHz, 6800 MHz, 247.02 W, 70
2, 1845 MHz, 6800 MHz, 250.57 W, 74
3, 1815 MHz, 6800 MHz, 237.65 W, 77
0, 1845 MHz, 6800 MHz, 217.78 W, 72
1, 1860 MHz, 6800 MHz, 244.82 W, 70
2, 1845 MHz, 6800 MHz, 244.75 W, 74
3, 1815 MHz, 6800 MHz, 237.61 W, 77
0, 1845 MHz, 6800 MHz, 220.43 W, 72
1, 1845 MHz, 6800 MHz, 249.89 W, 70
2, 1845 MHz, 6800 MHz, 249.75 W, 74
